Matricule,Age,Qualification,Secteur d'activité,Objectif,Diplome,Genre,niveau_etude,qualification_metier,secteur_metier,Filière / Spécialité,Secteur demandé,Métier visé / Qualification visée,Mobilité géographique,mobilite_norm,text_profile
PPBZV2505110027895,32,technicien fibre,Réseaux et Télécommunications,Emploi,Licence,Homme,Bac +3,Technicien Fibre Optique,"Informatique, Data, Télécommunications & Digital",Économie des Ressources naturelles et environnement,Non déclaré,Technicien Fibre,Non déclaré,non déclaré,Technicien Fibre Technicien Fibre Optique Économie des Ressources naturelles et environnement Emploi technicien fibre Licence Bac +3
PPPNR2504250026752,26,bachelier en sciences,Éducation - Formation - Enseignement,Emploi,Pas de diplôme,Homme,Bac +3,Bachelier en Sciences,Parcours Étudiant et Formation,Aucune,Non déclaré,Bachelier en sciences,Non déclaré,non déclaré,Bachelier en sciences Bachelier en Sciences Aucune Emploi bachelier en sciences Pas de diplôme Bac +3
PPBZV2505110027898,29,economiste,Finance,Stage,Licence,Femme,Bac +3,Économiste,Divers,Economie internationale,Audits - Finance - Banque - Assurance - Fiscalité - Comptabilité - Expertise Comptable,Economiste,Non,non,Economiste Économiste Economie internationale Audits - Finance - Banque - Assurance - Fiscalité - Comptabilité - Expertise Comptable Stage economiste Licence Bac +3
PPBZV2505110027899,23,cadre administratif,Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim,Stage,Licence,Femme,Bac +3,Cadre Administratif (Fonction Support),Fonction Publique & Administration,Administration des entreprises,Non déclaré,Cadre Administratif,Non déclaré,non déclaré,Cadre Administratif Cadre Administratif (Fonction Support) Administration des entreprises Stage cadre administratif Licence Bac +3
PPPNR2504250026774,25,chauffeur et conducteur,Divers,Emploi,Pas de diplôme,Homme,Secondaire 1,Chauffeur,"Transport, Logistique & Supply Chain",Aucune,Non déclaré,Chauffeur et Conducteur,Non déclaré,non déclaré,Chauffeur et Conducteur Chauffeur Aucune Emploi chauffeur et conducteur Pas de diplôme Secondaire 1
PPPNR2504250026784,23,administrateur de systèmes et réseaux,Informatique - Cybersécurité - Infographie - Data - Intelligence Artificielle - Digitalisation,Stage,Pas de diplôme,Homme,Bac +4/+5 et plus,Administrateur Systèmes & Réseaux,"Informatique, Data, Télécommunications & Digital",Aucune,Non déclaré,Administrateur de systèmes et réseaux,Non déclaré,non déclaré,Administrateur de systèmes et réseaux Administrateur Systèmes & Réseaux Aucune Stage administrateur de systèmes et réseaux Pas de diplôme Bac +4/+5 et plus
PPPNR2504260026795,37,responsable logistique,Agriculture - Agroalimentaire - Brasserie - Produits laitiers - Boulangerie,Emploi,Pas de diplôme,Homme,Bac +4/+5 et plus,Responsable Logistique,"Transport, Logistique & Supply Chain",Aucune,Transit - Transport et Logistique - Génie Logistique,Responsable logistique,Non,non,Responsable logistique Responsable Logistique Aucune Transit - Transport et Logistique - Génie Logistique Emploi responsable logistique Pas de diplôme Bac +4/+5 et plus
PPPNR2504260026797,23,etudiant,Éducation - Formation - Enseignement,Stage,Pas de diplôme,Homme,Bac +3,Etudiant,Parcours Étudiant et Formation,Aucune,Réseaux et Télécommunications,Etudiant,Non,non,Etudiant Etudiant Aucune Réseaux et Télécommunications Stage etudiant Pas de diplôme Bac +3
PPBZV2505110027905,34,agent logistique,Transit - Transport et Logistique - Génie Logistique,Emploi,Brevet d'Études du Premier Cycle (BEPC),Femme,Secondaire 1,Agent Logistique,"Transport, Logistique & Supply Chain",Aucune,Non déclaré,Agent Logistique,Non déclaré,non déclaré,Agent Logistique Agent Logistique Aucune Emploi agent logistique Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPBZV2505110027908,31,agent commercial,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat Général,Homme,Bac,Commercial,"Commerce, Vente, Marketing & Distribution",Bac A,Non déclaré,Agent Commercial,Non déclaré,non déclaré,Agent Commercial Commercial Bac A Emploi agent commercial Baccalauréat Général Bac
PPPNR2504260026802,32,agent administratif,Divers,Emploi,Pas de diplôme,Femme,Bac +3,Agent Administratif et de Secrétariat,Fonction Publique & Administration,Aucune,Non déclaré,Agent Administratif,Non déclaré,non déclaré,Agent Administratif Agent Administratif et de Secrétariat Aucune Emploi agent administratif Pas de diplôme Bac +3
PPBZV2505110027911,26,maintenancier,Génie Civil - Construction - Bâtiment et Travaux - Architecture,Stage,Licence,Homme,Bac +3,Maintenancier,"Industrie, Production & Maintenance",Maintenance industrielle,Non déclaré,maintenancier,Non déclaré,non déclaré,maintenancier Maintenancier Maintenance industrielle Stage maintenancier Licence Bac +3
PPPNR2504260026803,37,informaticien,Informatique - Cybersécurité - Infographie - Data - Intelligence Artificielle - Digitalisation,Emploi,Pas de diplôme,Homme,Bac +3,Technicien Informatique,"Informatique, Data, Télécommunications & Digital",Aucune,Non déclaré,Informaticien,Non déclaré,non déclaré,Informaticien Technicien Informatique Aucune Emploi informaticien Pas de diplôme Bac +3
PPBZV2505110027913,24,agent de prévention et de sécurité,Sécurité et Gardiennage – Protection des Installations Stratégiques,Emploi,Bac +2,Homme,Post-secondaire – Professionnel,Agent de Prevention et de Securite,"Sécurité, Sûreté & Défense",Economie,Non déclaré,Agent de Prévention et de Sécurité,Non déclaré,non déclaré,Agent de Prévention et de Sécurité Agent de Prevention et de Securite Economie Emploi agent de prévention et de sécurité Bac +2 Post-secondaire – Professionnel
PPPNR2504260026804,40,infirmière,Santé - Médecine - Pharmacie - vente de produits pharmaceutiques,Emploi,Pas de diplôme,Femme,Bac +3,Infirmier,"Santé, Pharmacie & Recherche Scientifique",Aucune,Non déclaré,Infirmière,Non déclaré,non déclaré,Infirmière Infirmier Aucune Emploi infirmière Pas de diplôme Bac +3
PPBZV2505120027915,20,magasinier,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Brevet d'Etude Technique (BET),Homme,Bac,Magasinier,"Industrie, Production & Maintenance",Électricité bâtiment,Hôtellerie - Restauration,Magasinier,Non,non,Magasinier Magasinier Électricité bâtiment Hôtellerie - Restauration Emploi magasinier Brevet d'Etude Technique (BET) Bac
PPPNR2504260026805,25,administration et des ressources humaines,Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim,Emploi,Pas de diplôme,Femme,Bac +3,Assistant en Ressources Humaines,"Conseil, Stratégie & Gestion des Ressources Humaines",Aucune,Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim,Assistant de direction,Non,non,Assistant de direction Assistant en Ressources Humaines Aucune Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim Emploi administration et des ressources humaines Pas de diplôme Bac +3
PPPNR2504260026806,33,chauffeur,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Pas de diplôme,Homme,Secondaire 1,Chauffeur,"Transport, Logistique & Supply Chain",Aucune,Non déclaré,Chauffeur,Non déclaré,non déclaré,Chauffeur Chauffeur Aucune Emploi chauffeur Pas de diplôme Secondaire 1
PPBZV2505120027920,33,géologue,Industrie Lourde - Mines - Extraction - Exploitation Minière - Métallurgie,Emploi,Licence,Homme,Bac +3,Géologue,"Bâtiment, Travaux Publics & Aménagement du Territoire",Géosciences,Non déclaré,Géologue,Non déclaré,non déclaré,Géologue Géologue Géosciences Emploi géologue Licence Bac +3
PPPNR2504270026808,22,technicienne de maintenance industrielle,Divers,Stage,Pas de diplôme,Homme,Post-secondaire – Professionnel,Technicien de maintenance industrielle,"Industrie, Production & Maintenance",Aucune,Electricité-Electricité Industrielle-Electromécanique-Electrotechnique,Technicienne de Maintenance Industrielle,Non,non,Technicienne de Maintenance Industrielle Technicien de maintenance industrielle Aucune Electricité-Electricité Industrielle-Electromécanique-Electrotechnique Stage technicienne de maintenance industrielle Pas de diplôme Post-secondaire – Professionnel
PPBZV2505120027924,34,représentant de commerce,Réseaux et Télécommunications,Emploi,Licence Professionnelle,Femme,Bac +3,Commercial,"Commerce, Vente, Marketing & Distribution","Transport, logistique et transit",Non déclaré,Représentant de commerce,Non déclaré,non déclaré,"Représentant de commerce Commercial Transport, logistique et transit Emploi représentant de commerce Licence Professionnelle Bac +3"
PPBZV2505120027925,22,maçon,Génie Civil - Construction - Bâtiment et Travaux - Architecture,Emploi,Baccalauréat Général,Homme,Bac,Maçon,"Bâtiment, Travaux Publics & Aménagement du Territoire",Bac D,Non déclaré,Maçon,Non déclaré,non déclaré,Maçon Maçon Bac D Emploi maçon Baccalauréat Général Bac
PPBZV2505120027926,28,logistique et transport,Transport terrestre - Transport - Transport Maritime - Transport Aérien - Transport Fluvial,Emploi,Licence,Femme,Bac +3,Technicien Logistique et Transport,"Transport, Logistique & Supply Chain",Logistique et Supply Chain Management,Non déclaré,Logistique et transport,Non déclaré,non déclaré,Logistique et transport Technicien Logistique et Transport Logistique et Supply Chain Management Emploi logistique et transport Licence Bac +3
PPBZV2505120027927,53,maçon / ferailleur,Génie Civil - Construction - Bâtiment et Travaux - Architecture,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Maçon / Ferrailleur,"Bâtiment, Travaux Publics & Aménagement du Territoire",Aucune,Non déclaré,Maçon / Ferailleur,Non déclaré,non déclaré,Maçon / Ferailleur Maçon / Ferrailleur Aucune Emploi maçon / ferailleur Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPPNR2504270026816,35,juriste,Droit et Justice,Emploi,Pas de diplôme,Homme,Bac +4/+5 et plus,Juriste,Droit et Justice,Aucune,Non déclaré,Juriste,Non déclaré,non déclaré,Juriste Juriste Aucune Emploi juriste Pas de diplôme Bac +4/+5 et plus
PPBZV2505120027930,39,administration et des ressources humaines,Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim,Emploi,Baccalauréat Général,Homme,Bac,Assistant en Ressources Humaines,"Conseil, Stratégie & Gestion des Ressources Humaines",Bac A,Non déclaré,Administration et des Ressources Humaines,Non déclaré,non déclaré,Administration et des Ressources Humaines Assistant en Ressources Humaines Bac A Emploi administration et des ressources humaines Baccalauréat Général Bac
PPBZV2505120027931,34,agent de sécurité,Sécurité et Gardiennage – Protection des Installations Stratégiques,Emploi,Licence,Homme,Bac +3,Agent de Securite,"Sécurité, Sûreté & Défense",Administration Publique,Non déclaré,Agent de sécurité,Non déclaré,non déclaré,Agent de sécurité Agent de Securite Administration Publique Emploi agent de sécurité Licence Bac +3
PPPNR2504270026817,34,infographiste,Communication - Médias - Informations - Community Manager - Audiovisuel et Multimédia - Journalisme,Emploi,Pas de diplôme,Homme,Post-secondaire – Professionnel,Graphic Designer,"Informatique, Data, Télécommunications & Digital",Aucune,Informatique - Cybersécurité - Infographie - Data - Intelligence Artificielle - Digitalisation,Infographiste,Non,non,Infographiste Graphic Designer Aucune Informatique - Cybersécurité - Infographie - Data - Intelligence Artificielle - Digitalisation Emploi infographiste Pas de diplôme Post-secondaire – Professionnel
PPBZV2505120027933,19,caissière,Finance,Emploi,Baccalauréat Général,Femme,Bac,Agent de caisse,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Bac D,Non déclaré,Caissière,Non déclaré,non déclaré,Caissière Agent de caisse Bac D Emploi caissière Baccalauréat Général Bac
PPBZV2505120027934,35,chauffeur polyvalent,Transport terrestre - Transport - Transport Maritime - Transport Aérien - Transport Fluvial,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Chauffeur Polyvalent,"Transport, Logistique & Supply Chain",Transport Routier,Non déclaré,chauffeur polyvalent,Non déclaré,non déclaré,chauffeur polyvalent Chauffeur Polyvalent Transport Routier Emploi chauffeur polyvalent Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPBZV2505120027935,33,agent de sécurité,Sécurité et Gardiennage – Protection des Installations Stratégiques,Emploi,Baccalauréat Général,Homme,Bac,Agent de Securite,"Sécurité, Sûreté & Défense",Bac D,Non déclaré,Agent de sécurité,Non déclaré,non déclaré,Agent de sécurité Agent de Securite Bac D Emploi agent de sécurité Baccalauréat Général Bac
PPBZV2505120027936,25,etudiant,Éducation - Formation - Enseignement,Emploi,Baccalauréat Général,Homme,Bac,Etudiant,Parcours Étudiant et Formation,Bac C,Non déclaré,Etudiant,Non déclaré,non déclaré,Etudiant Etudiant Bac C Emploi etudiant Baccalauréat Général Bac
PPBZV2505120027937,22,agent commercial,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat Général,Homme,Bac,Commercial,"Commerce, Vente, Marketing & Distribution",Bac A,Non déclaré,Agent Commercial,Non déclaré,non déclaré,Agent Commercial Commercial Bac A Emploi agent commercial Baccalauréat Général Bac
PPBZV2505120027938,24,gestionnaire comptable et financière,Audits - Finance - Banque - Assurance - Fiscalité - Comptabilité - Expertise Comptable,Emploi,BAC Technique,Homme,Bac,Comptable,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Gestion comptable et financier,Non déclaré,Gestionnaire comptable et financière,Non déclaré,non déclaré,Gestionnaire comptable et financière Comptable Gestion comptable et financier Emploi gestionnaire comptable et financière BAC Technique Bac
PPBZV2505120027939,28,agent de sécurité,Sécurité et Gardiennage – Protection des Installations Stratégiques,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Agent de Securite,"Sécurité, Sûreté & Défense",Aucune,Non déclaré,Agent de sécurité,Non déclaré,non déclaré,Agent de sécurité Agent de Securite Aucune Emploi agent de sécurité Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPBZV2505120027941,34,bachelier,Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim,Emploi,Baccalauréat Général,Homme,Bac,Diplômé du Baccalauréat,Parcours Étudiant et Formation,Infrastructure de Réseaux,Non déclaré,bachelier,Non déclaré,non déclaré,bachelier Diplômé du Baccalauréat Infrastructure de Réseaux Emploi bachelier Baccalauréat Général Bac
PPPNR2504270026818,29,chauffeur livreur,Transport terrestre - Transport - Transport Maritime - Transport Aérien - Transport Fluvial,Emploi,Pas de diplôme,Homme,Secondaire 1,Chauffeur-Livreur,"Transport, Logistique & Supply Chain",Aucune,Non déclaré,Chauffeur livreur,Non déclaré,non déclaré,Chauffeur livreur Chauffeur-Livreur Aucune Emploi chauffeur livreur Pas de diplôme Secondaire 1
PPBZV2505120027944,24,administrateur de base de données,Informatique - Cybersécurité - Infographie - Data - Intelligence Artificielle - Digitalisation,Emploi,Baccalauréat Général,Homme,Bac,Administrateur de Base de Données,"Informatique, Data, Télécommunications & Digital",Bac D,Non déclaré,Administrateur de base de données,Non déclaré,non déclaré,Administrateur de base de données Administrateur de Base de Données Bac D Emploi administrateur de base de données Baccalauréat Général Bac
PPBZV2505120027945,23,agent commercial,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat Général,Femme,Bac,Commercial,"Commerce, Vente, Marketing & Distribution",Aucune,Non déclaré,Agent Commercial,Non déclaré,non déclaré,Agent Commercial Commercial Aucune Emploi agent commercial Baccalauréat Général Bac
PPBZV2505120027946,31,chargé de communication,Communication - Médias - Informations - Community Manager - Audiovisuel et Multimédia - Journalisme,Stage,Licence,Homme,Bac +3,Chargé de Communication,"Communication, Médias & Événementiel",communication d'entreprise,Communication - Médias - Informations - Community Manager - Audiovisuel et Multimédia - Journalisme,Chargé de communication,Non,non,Chargé de communication Chargé de Communication communication d'entreprise Communication - Médias - Informations - Community Manager - Audiovisuel et Multimédia - Journalisme Stage chargé de communication Licence Bac +3
PPBZV2505120027947,38,comptable,Finance,Emploi,Brevet de Technicien Supérieur (BTS),Homme,Post-secondaire – Professionnel,Comptable,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Gestion comptable et financière,Non déclaré,Comptable,Non déclaré,non déclaré,Comptable Comptable Gestion comptable et financière Emploi comptable Brevet de Technicien Supérieur (BTS) Post-secondaire – Professionnel
PPBZV2505120027950,24,manœuvre,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Manœuvre,"Bâtiment, Travaux Publics & Aménagement du Territoire",Aucune,Non déclaré,Manœuvre,Non déclaré,non déclaré,Manœuvre Manœuvre Aucune Emploi manœuvre Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPBZV2505120027952,33,agent commercial,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat Général,Homme,Bac,Commercial,"Commerce, Vente, Marketing & Distribution",Bac D,Non déclaré,Agent Commercial,Non déclaré,non déclaré,Agent Commercial Commercial Bac D Emploi agent commercial Baccalauréat Général Bac
PPBZV2505120027953,23,agent de prévention et de sécurité,Sécurité et Gardiennage – Protection des Installations Stratégiques,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Agent de Prevention et de Securite,"Sécurité, Sûreté & Défense",Aucune,Non déclaré,Agent de Prévention et de Sécurité,Non déclaré,non déclaré,Agent de Prévention et de Sécurité Agent de Prevention et de Securite Aucune Emploi agent de prévention et de sécurité Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPBZV2505120027954,25,agent commercial,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat,Homme,Bac,Commercial,"Commerce, Vente, Marketing & Distribution",Bac A,Non déclaré,Agent Commercial,Non déclaré,non déclaré,Agent Commercial Commercial Bac A Emploi agent commercial Baccalauréat Bac
PPPOO2505120027957,28,manutentionnaire,Divers,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Agent de manutention,"Transport, Logistique & Supply Chain",Électricité bâtiment,Non déclaré,Manutentionnaire,Non déclaré,non déclaré,Manutentionnaire Agent de manutention Électricité bâtiment Emploi manutentionnaire Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPBZV2505120027958,25,manœuvre,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Manœuvre,"Bâtiment, Travaux Publics & Aménagement du Territoire",Aucune,Non déclaré,Manœuvre,Non déclaré,non déclaré,Manœuvre Manœuvre Aucune Emploi manœuvre Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPPNR2504270026822,23,informaticien,Informatique - Cybersécurité - Infographie - Data - Intelligence Artificielle - Digitalisation,Emploi,Pas de diplôme,Homme,Bac +3,Technicien Informatique,"Informatique, Data, Télécommunications & Digital",Aucune,Non déclaré,Informaticien,Non déclaré,non déclaré,Informaticien Technicien Informatique Aucune Emploi informaticien Pas de diplôme Bac +3
PPBZV2505120027961,32,hôtelière,Hôtellerie - Restauration,Emploi,Brevet d'Études du Premier Cycle (BEPC),Femme,Secondaire 1,Hotelier,Hôtellerie-Restauration,Aucune,Non déclaré,Hôtelière,Non déclaré,non déclaré,Hôtelière Hotelier Aucune Emploi hôtelière Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPBZV2505120027962,35,banquier,Finance,Emploi,Licence,Homme,Bac +3,Conseiller Bancaire,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Administration des affaires,Non déclaré,Banquier,Non déclaré,non déclaré,Banquier Conseiller Bancaire Administration des affaires Emploi banquier Licence Bac +3
PPBZV2505120027963,24,agent de prévention et de sécurité,Sécurité et Gardiennage – Protection des Installations Stratégiques,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Agent de Prevention et de Securite,"Sécurité, Sûreté & Défense",Aucune,Non déclaré,Agent de Prévention et de Sécurité,Non déclaré,non déclaré,Agent de Prévention et de Sécurité Agent de Prevention et de Securite Aucune Emploi agent de prévention et de sécurité Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPBZV2505120027964,35,ferrailleur,Divers,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Ferrailleur (Béton armé),"Bâtiment, Travaux Publics & Aménagement du Territoire",Aucune,Non déclaré,Ferrailleur,Non déclaré,non déclaré,Ferrailleur Ferrailleur (Béton armé) Aucune Emploi ferrailleur Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPPNR2504280026826,26,technicien de fibre optique,Réseaux et Télécommunications,Emploi,Pas de diplôme,Homme,Post-secondaire – Professionnel,Technicien Fibre Optique,"Informatique, Data, Télécommunications & Digital",Aucune,Non déclaré,Technicien de fibre optique,Non déclaré,non déclaré,Technicien de fibre optique Technicien Fibre Optique Aucune Emploi technicien de fibre optique Pas de diplôme Post-secondaire – Professionnel
PPBZV2505120027966,27,cuisinier,Hôtellerie - Restauration,Emploi,Licence,Homme,Bac +3,Cuisinier,Hôtellerie-Restauration,Génie civil,Non déclaré,Cuisinier,Non déclaré,non déclaré,Cuisinier Cuisinier Génie civil Emploi cuisinier Licence Bac +3
PPBZV2505120027967,28,etudiante,Divers,Stage,Baccalauréat Général,Femme,Bac,Etudiant,Parcours Étudiant et Formation,Bac D,Non déclaré,Etudiante,Non déclaré,non déclaré,Etudiante Etudiant Bac D Stage etudiante Baccalauréat Général Bac
PPBZV2505120027969,26,manœuvre,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Manœuvre,"Bâtiment, Travaux Publics & Aménagement du Territoire",Aucune,Non déclaré,Manœuvre,Non déclaré,non déclaré,Manœuvre Manœuvre Aucune Emploi manœuvre Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPPNR2504280026829,33,agent logistique,Transit - Transport et Logistique - Génie Logistique,Emploi,Pas de diplôme,Homme,Bac,Agent Logistique,"Transport, Logistique & Supply Chain",Aucune,Non déclaré,Agent Logistique,Non déclaré,non déclaré,Agent Logistique Agent Logistique Aucune Emploi agent logistique Pas de diplôme Bac
PPBZV2505120027971,35,serveuse,Hôtellerie - Restauration,Emploi,BAC Technique,Femme,Bac,Serveur,Hôtellerie-Restauration,Secrétariat,Non déclaré,Serveuse,Non déclaré,non déclaré,Serveuse Serveur Secrétariat Emploi serveuse BAC Technique Bac
PPPOO2505120027972,23,manutentionnaire,Divers,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Agent de manutention,"Transport, Logistique & Supply Chain",Électricité bâtiment,Non déclaré,Manutentionnaire,Non déclaré,non déclaré,Manutentionnaire Agent de manutention Électricité bâtiment Emploi manutentionnaire Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPBZV2505120027976,31,femme de ménage,Nettoyage - Blanchisserie - Pressing,Emploi,Brevet d'Etude Technique (BET),Femme,Bac,Agent d'Entretien,Services à la Personne & Social,Comptabilité,Non déclaré,Femme de Ménage,Non déclaré,non déclaré,Femme de Ménage Agent d'Entretien Comptabilité Emploi femme de ménage Brevet d'Etude Technique (BET) Bac
PPBZV2505120027977,24,logisticien,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Bac +2,Homme,Post-secondaire – Professionnel,Logisticien,"Transport, Logistique & Supply Chain",Transport et logistique,Non déclaré,Logisticien,Non déclaré,non déclaré,Logisticien Logisticien Transport et logistique Emploi logisticien Bac +2 Post-secondaire – Professionnel
PPBZV2505120027978,36,électricien,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,BAC Technique,Homme,Bac,Électricien,"Énergie, Environnement & Eau",Bac F3,Non déclaré,Électricien,Non déclaré,non déclaré,Électricien Électricien Bac F3 Emploi électricien BAC Technique Bac
PPBZV2505120027981,37,gestionnaire comptable et financière,Audits - Finance - Banque - Assurance - Fiscalité - Comptabilité - Expertise Comptable,Emploi,Licence,Homme,Bac +3,Comptable,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Comptabilité,Non déclaré,Gestionnaire comptable et financière,Non déclaré,non déclaré,Gestionnaire comptable et financière Comptable Comptabilité Emploi gestionnaire comptable et financière Licence Bac +3
PPBZV2505120027983,33,hôtelier,Hôtellerie - Restauration,Emploi,Licence,Homme,Bac +3,Hotelier,Hôtellerie-Restauration,Géographie,Non déclaré,Hôtelier,Non déclaré,non déclaré,Hôtelier Hotelier Géographie Emploi hôtelier Licence Bac +3
PPBZV2505120027984,26,agent commercial,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Licence,Homme,Bac +3,Commercial,"Commerce, Vente, Marketing & Distribution",Gestion comptable et financière,Non déclaré,Agent Commercial,Non déclaré,non déclaré,Agent Commercial Commercial Gestion comptable et financière Emploi agent commercial Licence Bac +3
PPBZV2505120027987,30,aucune,Divers,Emploi,Baccalauréat Général,Homme,Bac,Aucune,Divers,Aucune,Non déclaré,Aucune,Non déclaré,non déclaré,Aucune Aucune Aucune Emploi aucune Baccalauréat Général Bac
PPPNR2504280026832,26,technicien en réseau et télécommunication,Réseaux et Télécommunications,Stage,Pas de diplôme,Homme,Post-secondaire – Professionnel,Technicien Réseaux & Télécom,"Informatique, Data, Télécommunications & Digital",Aucune,Non déclaré,technicien en réseau et télécommunication,Non déclaré,non déclaré,technicien en réseau et télécommunication Technicien Réseaux & Télécom Aucune Stage technicien en réseau et télécommunication Pas de diplôme Post-secondaire – Professionnel
PPBZV2505120027989,31,manœuvre,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat Général,Homme,Bac,Manœuvre,"Bâtiment, Travaux Publics & Aménagement du Territoire",Bac D,Non déclaré,Manœuvre,Non déclaré,non déclaré,Manœuvre Manœuvre Bac D Emploi manœuvre Baccalauréat Général Bac
PPBZV2505120027990,30,électricien,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,BAC Technique,Homme,Bac,Électricien,"Énergie, Environnement & Eau",Bac F3,Non déclaré,Électricien,Non déclaré,non déclaré,Électricien Électricien Bac F3 Emploi électricien BAC Technique Bac
PPBZV2505120027993,50,chauffeur poids lourds,Transport terrestre - Transport - Transport Maritime - Transport Aérien - Transport Fluvial,Emploi,Baccalauréat Général,Homme,Bac,Chauffeur Poids Lourds,"Transport, Logistique & Supply Chain",Bac A,Non déclaré,chauffeur poids lourds,Non déclaré,non déclaré,chauffeur poids lourds Chauffeur Poids Lourds Bac A Emploi chauffeur poids lourds Baccalauréat Général Bac
PPBZV2505120027994,26,serveur,Hôtellerie - Restauration,Emploi,Baccalauréat Général,Homme,Bac,Serveur,Hôtellerie-Restauration,Bac D,Non déclaré,Serveur,Non déclaré,non déclaré,Serveur Serveur Bac D Emploi serveur Baccalauréat Général Bac
PPPNR2504280026858,33,chauffeur de poids lourd,Transit - Transport et Logistique - Génie Logistique,Emploi,Pas de diplôme,Homme,Bac,Chauffeur Poids Lourds,"Transport, Logistique & Supply Chain",Aucune,Non déclaré,Chauffeur de poids lourd,Non déclaré,non déclaré,Chauffeur de poids lourd Chauffeur Poids Lourds Aucune Emploi chauffeur de poids lourd Pas de diplôme Bac
PPBZV2505120027998,24,agent de sécurité,Sécurité et Gardiennage – Protection des Installations Stratégiques,Emploi,Baccalauréat Général,Homme,Bac,Agent de Securite,"Sécurité, Sûreté & Défense",Bac A,Non déclaré,Agent de sécurité,Non déclaré,non déclaré,Agent de sécurité Agent de Securite Bac A Emploi agent de sécurité Baccalauréat Général Bac
PPBZV2505120028001,26,chauffeur,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Chauffeur,"Transport, Logistique & Supply Chain",Aucune,Non déclaré,Chauffeur,Non déclaré,non déclaré,Chauffeur Chauffeur Aucune Emploi chauffeur Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
